time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010462349642	48.1819	17.3784	2.80613	0.293804	-0.159071	lidar	4.64661	48.1541	17.2835	48.0823	17.6063	2.6326	1.23832
1477010462349642	48.1514	17.3702	2.77549	0.298675	-0.155772	radar	0.324663	47.9331	17.5349	48.0823	17.6063	2.6326	1.23832
1477010463349642	50.6237	18.988	2.8499	0.59576	0.122566	lidar	4.13074	50.6228	19.0721	50.7276	18.8172	2.61569	1.16454
1477010463349642	50.6197	18.9773	2.88956	0.586016	0.111682	radar	0.282178	50.5737	18.7834	50.7276	18.8172	2.61569	1.16454
1477010464349642	53.6372	19.9271	3.06807	0.255214	-0.156437	lidar	4.32275	53.7268	19.8982	53.3577	19.9486	2.59372	1.07716
1477010464349642	53.5982	19.8991	2.92769	0.249871	-0.164512	radar	0.730035	53.5277	19.862	53.3577	19.9486	2.59372	1.07716
1477010465349642	56.0863	21.0537	2.74223	0.388588	0.0142949	lidar	2.19327	56.0322	21.0923	55.9669	20.9874	2.56561	0.978022
1477010465349642	56.0493	21.0393	2.70157	0.385355	0.0117696	radar	0.488823	55.867	20.985	55.9669	20.9874	2.56561	0.978022
1477010466349642	58.6466	21.7989	2.73852	0.270588	-0.0641204	lidar	0.317748	58.6632	21.7821	58.5484	21.9225	2.53033	0.869205
1477010466349642	58.6549	21.8048	2.78119	0.27299	-0.061496	radar	0.0830045	58.5799	21.9815	58.5484	21.9225	2.53033	0.869205
1477010467349642	60.9403	22.7787	2.52765	0.381986	0.0369166	lidar	1.4492	60.8722	22.7876	61.0941	22.7449	2.48697	0.753031
1477010467349642	60.9245	22.7688	2.57286	0.378405	0.0336151	radar	0.663637	60.7648	22.6398	61.0941	22.7449	2.48697	0.753031
1477010468349642	63.3742	23.4319	2.56484	0.260843	-0.0557605	lidar	0.416527	63.3821	23.4069	63.5955	23.4479	2.43482	0.631987
1477010468349642	63.4378	23.454	2.59377	0.257884	-0.0591436	radar	2.02549	63.7478	23.7442	63.5955	23.4479	2.43482	0.631987
1477010469349642	66.264	23.9843	2.89386	0.144437	-0.0880439	lidar	1.41274	66.3403	23.9959	66.0431	24.0276	2.37349	0.508655
1477010469349642	66.1641	23.9349	2.62824	0.117259	-0.11565	radar	3.07863	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655
1477010470349642	68.3462	24.3479	2.28749	0.128639	-0.0461164	lidar	1.91467	68.262	24.3582	68.4273	24.4824	2.30293	0.385623
1477010470349642	68.4279	24.3791	2.43359	0.145761	-0.0317623	radar	1.77476	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623
